,id,variable,n_datapoints,n_days,first_date,last_date,n_unique_values,val_min,val_max
145,9,appCat.office,24.0,15.0,2014-03-21,2014-04-03,23.0,1.003,70.292
146,9,appCat.other,148.0,35.0,2014-03-21,2014-03-26,143.0,1.004,193.932
147,9,appCat.social,103.0,26.0,2014-03-22,2014-03-25,103.0,1.003,267.892
148,9,appCat.travel,180.0,22.0,2014-03-22,2014-03-27,178.0,1.003,469.83
149,9,appCat.unknown,42.0,12.0,2014-03-24,2014-03-27,40.0,1.005,620.648
150,9,appCat.utilities,60.0,21.0,2014-03-21,2014-03-29,42.0,0.618,56.07
151,9,appCat.weather,17.0,10.0,2014-03-22,2014-04-07,17.0,2.01,35.607
152,12,mood,185.0,41.0,2014-03-15,2014-04-04,5.0,4.0,8.0
153,12,circumplex.arousal,185.0,41.0,2014-03-15,2014-04-04,5.0,-2.0,2.0
154,12,circumplex.valence,185.0,41.0,2014-03-15,2014-04-04,4.0,-1.0,2.0
155,12,activity,932.0,40.0,2014-03-27,2014-03-29,259.0,0.0,0.822916666666667
156,12,screen,4220.0,40.0,2014-03-27,2014-03-27,4078.0,0.230000019073486,6178.45500016212
157,12,call,159.0,55.0,2014-02-20,2014-03-15,1.0,1.0,1.0
158,12,sms,38.0,17.0,2014-02-19,2014-03-15,1.0,1.0,1.0
159,12,appCat.builtin,7233.0,40.0,2014-03-27,2014-03-27,3909.0,-1.218,28163.993
160,12,appCat.communication,1188.0,40.0,2014-03-27,2014-03-28,1070.0,0.722,921.207
161,12,appCat.entertainment,604.0,40.0,2014-03-27,2014-03-29,574.0,0.679,1421.057
162,12,appCat.finance,99.0,19.0,2014-03-31,2014-04-05,93.0,1.002,170.79
163,12,appCat.game,18.0,9.0,2014-03-31,2014-04-09,18.0,3.017,169.416
164,12,appCat.office,74.0,20.0,2014-03-31,2014-04-04,72.0,2.024,359.17
165,12,appCat.other,201.0,40.0,2014-03-27,2014-04-03,187.0,2.008,44.246
166,12,appCat.social,1528.0,40.0,2014-03-27,2014-03-27,1455.0,1.002,1005.653
167,12,appCat.travel,402.0,31.0,2014-03-29,2014-03-31,390.0,0.976,630.551
168,12,appCat.unknown,9.0,1.0,2014-03-29,2014-03-29,9.0,1.002,33.148
169,12,appCat.utilities,48.0,20.0,2014-03-27,2014-04-07,48.0,0.365,13.062
170,12,appCat.weather,3.0,3.0,2014-04-25,2014-04-27,3.0,22.066,86.672
171,13,mood,244.0,53.0,2014-03-13,2014-03-24,8.0,2.0,9.0
172,13,circumplex.arousal,244.0,53.0,2014-03-13,2014-03-24,5.0,-2.0,2.0
173,13,circumplex.valence,244.0,53.0,2014-03-13,2014-03-24,5.0,-2.0,2.0
174,13,activity,544.0,44.0,2014-03-20,2014-03-23,172.0,0.0,1.0
175,13,screen,6697.0,52.0,2014-03-13,2014-03-14,6293.0,0.152999877929688,9621.50100016594
176,13,call,91.0,36.0,2014-02-17,2014-02-28,1.0,1.0,1.0
177,13,sms,53.0,25.0,2014-02-19,2014-03-26,1.0,1.0,1.0
178,13,appCat.builtin,1743.0,52.0,2014-03-13,2014-03-14,1590.0,0.004,1568.754
179,13,appCat.communication,7790.0,52.0,2014-03-13,2014-03-14,6323.0,0.027,9830.777
180,13,appCat.entertainment,249.0,31.0,2014-03-13,2014-03-20,246.0,0.668,2330.7
181,13,appCat.finance,,,,,,,
182,13,appCat.game,,,,,,,
183,13,appCat.office,38.0,13.0,2014-03-28,2014-04-19,38.0,1.024,118.425
184,13,appCat.other,722.0,51.0,2014-03-13,2014-03-15,708.0,0.351,2243.235
